ID1,Name1,ID2,Name2,Similarity
4445,Edward Ed Von Leffern,3744,Edward Ed Von Leffern,1
4448,Khosrow Moshirvaziri,4750,Khosrow Moshirvaziri,1
4454,Vlatka Velcic,6068,Vlatka Velcic,1
4465,Omer Benli,8677,Omer Benli,1
4501,Xin Li,4139,Xin Li,1
4504,Cynthia Hutten-Eagle,4194,Cynthia Hutten-Eagle,1
4535,Stuart Rosen,3762,Stuart Rosen,1
4560,Jolyn  Brookes,7580,Jolyn  Brookes,1
4587,Giulio Della Rocca,4843,Giulio Della Rocca,1
4598,Kerry Robison,4195,Kerry Robison,1
4655,Ann Kim,5375,Ann Kim,1
4735,Thang Nguyen,3721,Thang Nguyen,1
4736,Xuhui Li,5968,Xuhui Li,1
4834,Mariya Mileva,3952,Mariya Mileva,1
4850,Subhash Rajpoot,5455,Subhash Rajpoot,1
4930,Ali Rezaei,5524,Ali Rezaei,1
4955,Yu-Ming Wang,5765,Yu-Ming Wang,1
4990,Jan Elizabeth Vierra,5911,Jan Elizabeth Vierra,1
5016,Dan Pynn,5763,Dan Pynn,1
5080,Rahel Woldegaber,4290,Rahel Woldegaber,1
5133,Tongzhou Wang,4147,Tongzhou Wang,1
5166,Hojong Shin,4461,Hojong Shin,1
5225,Babak Taherian,3859,Babak Taherian,1
5245,Uche Ugwueze,8263,Uche Ugwueze,1
5251,Tariq Shehab-Eldeen,7138,Tariq Shehab-Eldeen,1
5288,Michael Constas,4548,Michael Constas,1
5294,Alexandra Jaffe,3800,Alexandra Jaffe,1
5298,Jennifer Gradis,4039,Jennifer Gradis,1
5310,May Halim,6185,May Halim,1
5310,May Halim,8424,May Halim,1
5339,Hannah-Hanh Nguyen,5149,Hannah-Hanh Nguyen,1
5395,Barbara LeMaster,8776,Barbara LeMaster,1
5417,Claudia Lopez,7047,Claudia Lopez,1
5549,Dianne Cotaya,5871,Dianne Cotaya,1
5648,Corey Leis,3715,Corey Leis,1
5809,D Toohey Costa,4311,D Toohey Costa,1
5829,Anila Bhagavatula,5494,Anila Bhagavatula,1
5830,William Hernandez,5821,William Hernandez,1
5831,Wan Lee,7589,Wan Lee,1
5869,Ed Martin,5023,Ed Martin,1
5874,Erylene Piper-Mandy,5725,Erylene Piper-Mandy,1
5879,Griselda Suarez,6232,Griselda Suarez,1
5896,Kelly McHugh-Lopes,6352,Kelly McHugh-Lopes,1
5914,Alexei Lalo,6200,Alexei Lalo,1
5954,Pravina Cooper,6386,Pravina Cooper,1
5966,Rigoberto Rodriguez,4868,Rigoberto Rodriguez,1
6055,Namhee Kim,5259,Namhee Kim,1
6056,Veronica Sanchez,6028,Veronica Sanchez,1
6061,Emmitt Clark,3787,Emmitt Clark,1
6067,Jeff Davis,5174,Jeff Davis,1
6106,Michael Roman,3735,Michael Roman,1
6133,Chris Shaw,7658,Chris Shaw,1
6151,Marcus Young-Owl,8586,Marcus Young-Owl,1
6151,Marcus Young-Owl,3683,Marcus Young-Owl,1
6185,May Halim,8424,May Halim,1
6193,David Matea,5109,David Matea,1
6199,Anthony Castello,6198,Anthony Castello,1
6221,Amber Johnson,7591,Amber Johnson,1
6221,Amber Johnson,6615,Amber Johnson,1
6224,Montserrat Geier,6500,Montserrat Geier,1
6266,Jennifer Griffith,3892,Jennifer Griffith,1
6305,Victor De La Cruz,8478,Victor De La Cruz,1
6320,Cedric Anderson,7349,Cedric Anderson,1
6348,Yu Fu KO,4107,Yu Fu KO,1
6350,Alfonso Hernandez Marquez,5675,Alfonso Hernandez Marquez,1
6364,Christine Palmier,5679,Christine Palmier,1
6367,Eva Johnson,8811,Eva Johnson,1
6416,Nicholas Laskowski,3870,Nicholas Laskowski,1
6454,Erick Watanabe,5563,Erick Watanabe,1
6476,Kimberly Walters,6192,Kimberly Walters,1
6517,Shira Tarrant,5012,Shira Tarrant,1
6547,Erica Parker,7038,Erica Parker,1
6585,Douglas Domingo-Foraste,3743,Douglas Domingo-Foraste,1
6644,Dave O''Brien,3708,Dave O''Brien,1
6654,Sharmila Venugopal,4378,Sharmila Venugopal,1
6749,John Valenzuela,5228,John Valenzuela,1
6752,Nicole Smith,8023,Nicole Smith,1
6789,Alfonso Hernandez Marquez,6350,Alfonso Hernandez Marquez,1
6789,Alfonso Hernandez Marquez,5675,Alfonso Hernandez Marquez,1
6831,Lisa Lares,8667,Lisa Lares,1
6878,Maria Carreira,6751,Maria Carreira,1
6879,Grant Hill,8227,Grant Hill,1
6900,Barbara Roberts-Hartman,5731,Barbara Roberts-Hartman,1
6913,Kirran Vandinther-Moss,7403,Kirran Vandinther-Moss,1
6914,Rigoberto Villalpando,3826,Rigoberto Villalpando,1
7036,Kaleeka Quaye,7475,Kaleeka Quaye,1
7108,Chris Forsythe,6033,Chris Forsythe,1
7120,Tuyet-Anh Pham,6030,Tuyet-Anh Pham,1
7128,Stacy Young,3729,Stacy Young,1
7341,Michael Parker,4997,Michael Parker,1
7376,Shae Miller,8726,Shae Miller,1
7422,Lisa Grobar,8813,Lisa Grobar,1
7509,Jennifer Kauk-Pepple,6148,Jennifer Kauk-Pepple,1
7574,Michelle Powers-Lundvall,3691,Michelle Powers-Lundvall,1
7591,Amber Johnson,6615,Amber Johnson,1
7668,Thomas Douglas,6445,Thomas Douglas,1
7681,Caleb Jones,3923,Caleb Jones,1
7686,Nidhi Tilak,3830,Nidhi Tilak,1
7713,Fariba Sadeghi-Tabrizi,7750,Fariba Sadeghi-Tabrizi,1
7804,Sarah Moyer,5920,Sarah Moyer,1
7805,Cindi Alvitre,3803,Cindi Alvitre,1
8003,Monica Argandona,5685,Monica Argandona,1
8048,Michael Tomlin,4949,Michael Tomlin,1
8104,Jessica James,3775,Jessica James,1
8104,Jessica James,6188,Jessica James,1
8107,Rita Suh,7588,Rita Suh,1
8142,Jacquelyn Morell,3962,Jacquelyn Morell,1
8447,Amy King,6207,Amy King,1
